date,exchange,beginning_outstanding,fresh_exposure,exposure_liquidated,end_outstanding,securities_count,amount_financed,exposure_taken
2017-06-22,NSE,10130.38,,,10075.32,1099,,
2017-06-23,NSE,10075.32,,,10099.37,1099,,
2017-06-27,NSE,10099.37,1529.74,,10887.21,1101,,
2017-06-28,NSE,10887.21,,,10990.2,1100,,
2017-06-29,NSE,10990.2,,,11113.05,1100,,
2017-06-30,NSE,11113.05,,,11120.71,1100,,
2017-07-03,NSE,11120.71,,,11095.0,1105,,
2017-07-04,NSE,11095.0,,,11018.97,1103,,
2017-07-05,NSE,11018.97,,,10913.61,1130,,
2017-07-06,NSE,10913.61,,,10842.16,1114,,
2017-07-07,NSE,10842.16,,,10847.81,1108,,
2017-07-10,NSE,10847.81,,,11182.25,1107,,
2017-07-11,NSE,11182.25,,,10897.51,1110,,
2017-07-12,NSE,10897.51,,,10391.26,1109,,
2017-07-13,NSE,10385.76,,,10525.03,1113,,
2017-07-14,NSE,10525.03,,1171.34,9775.68,1112,,
2017-07-17,NSE,9775.68,,,9674.75,1107,,
2017-07-18,NSE,9674.75,,,9706.75,1105,,
2017-07-19,NSE,9706.75,,,9947.41,1097,,
2017-07-20,NSE,9947.41,,,10223.59,1102,,
2017-07-21,NSE,10223.59,,,9899.03,1106,,
2017-07-24,NSE,9899.03,,,9710.1,1104,,
2017-07-25,NSE,9710.1,,,9699.13,1105,,
2017-07-26,NSE,9699.13,,,9775.03,1108,,
2017-07-27,NSE,9775.22,,,9815.08,1107,,
2017-07-28,NSE,9814.78,,,9985.56,1105,,
2017-07-31,NSE,9985.07,,,10204.62,1105,,
2017-08-01,NSE,10204.62,,,10545.93,1108,,
2017-08-02,NSE,10545.93,1261.06,,11091.38,1106,,
2017-08-03,NSE,11090.18,2302.32,1047.45,12345.05,1108,,
2017-08-04,NSE,12345.05,3586.08,1619.25,14311.88,1118,,
2017-08-09,NSE,18092.85,129167.16,8444.35,138815.66,1274,,
2017-08-11,NSE,22488.38,95649.67,11546.72,106591.33,1268,,
2017-08-14,NSE,106591.33,44766.98,12202.01,139156.3,1282,,
2017-08-16,NSE,95982.17,5975.51,6858.6,95099.08,1264,,
2017-08-17,NSE,138273.21,13522.06,7131.51,144663.75,1281,,
2017-08-18,NSE,110569.05,10803.62,6539.84,114832.83,1272,,
2017-08-21,NSE,114525.05,11515.18,12778.43,113261.8,1268,,
2017-08-22,NSE,113261.8,17281.18,6837.54,123705.44,1306,,
2017-08-23,NSE,123705.29,8161.58,9414.5,122452.36,1309,,
2017-08-24,NSE,122452.36,9251.43,30160.06,101543.73,1307,,
2017-08-28,NSE,135638.43,17725.58,16626.74,136737.28,1307,,
2017-08-29,NSE,136737.28,13252.97,9080.02,140910.22,1301,,
2017-08-30,NSE,105138.4,10000.28,11394.69,103744.0,1286,,
2017-08-31,NSE,139562.9,14243.78,12262.15,141544.54,1297,,
2017-09-01,NSE,141113.34,17629.37,14435.07,144307.65,1303,,
2017-09-04,NSE,144738.84,16591.53,12346.06,148984.31,1301,,
2017-09-05,NSE,148966.52,14011.37,21064.38,141913.51,1306,,
2017-09-06,NSE,106326.25,14649.02,10534.81,110440.46,1292,,
2017-09-07,NSE,146045.51,18662.58,15741.42,148966.67,1302,,
2017-09-08,NSE,148966.67,17666.71,17395.39,149237.98,1301,,
2017-09-11,NSE,149227.26,16459.18,16587.78,149098.66,1303,,
2017-09-12,NSE,149109.39,17268.14,17569.14,148808.39,1301,,
2017-09-13,NSE,149116.17,20934.41,15819.23,154231.35,1302,,
2017-09-14,NSE,154231.35,15715.1,14405.42,155541.03,1301,,
2017-09-15,NSE,155541.03,15722.42,14506.69,156756.76,1301,,
2017-09-18,NSE,156756.76,18659.65,16051.45,159364.96,1299,,
2017-09-19,NSE,159364.96,20719.58,16502.54,163582.0,1297,,
2017-09-20,NSE,160848.36,22508.14,15802.42,167554.08,1296,,
2017-09-21,NSE,170287.71,18417.79,14387.32,174318.19,1296,,
2017-09-22,NSE,174318.19,21717.25,15246.77,180788.66,1295,,
2017-09-25,NSE,180788.66,12437.46,14461.5,178764.62,1296,,
2017-09-26,NSE,178764.62,13850.55,11296.85,181318.32,1294,,
2017-09-27,NSE,181318.32,15778.81,17223.12,179874.0,1295,,
2017-09-28,NSE,175668.76,12930.38,11683.45,176915.69,1294,,
2017-09-29,NSE,181033.69,11663.03,10258.75,182437.97,1296,,
2017-10-03,NSE,182437.97,12076.29,14061.38,180452.88,1302,,
2017-10-04,NSE,180540.12,12634.44,12796.43,180378.13,1306,,
2017-10-05,NSE,180378.13,16747.07,13118.82,184006.38,1313,,
2017-10-06,NSE,184006.38,27958.17,26422.03,185542.53,1311,,
2017-10-09,NSE,185542.53,20117.84,15494.71,190165.66,1313,,
2017-10-10,NSE,190165.66,19697.82,17623.52,192239.97,1316,,
2017-10-11,NSE,192165.48,24864.95,18000.16,199030.27,1313,,
2017-10-12,NSE,199030.27,19058.67,20837.05,197251.89,1311,,
2017-10-13,NSE,157478.51,19961.3,14715.19,162724.62,1308,,
2017-10-16,NSE,202498.0,23254.68,21488.74,204263.95,1314,,
2017-10-17,NSE,204263.95,20010.88,17935.23,206339.59,1317,,
2017-10-19,NSE,206743.49,22297.81,15308.95,213732.35,1317,,
2017-10-23,NSE,213732.35,17245.43,14719.59,216258.18,1317,,
2017-10-24,NSE,216258.18,22125.94,22024.14,216359.97,1317,,
2017-10-25,NSE,216359.97,28919.18,28680.8,216598.36,1314,,
2017-10-26,NSE,216598.36,29476.26,24516.88,221557.74,1315,,
2017-10-27,NSE,221557.74,26542.73,23763.44,224337.03,1314,,
2017-10-30,NSE,224337.03,26678.58,36021.11,214994.49,1315,,
2017-10-31,NSE,189474.51,23384.03,19865.98,192992.55,1291,,
2017-11-01,NSE,192992.55,25911.35,22681.81,196222.1,1294,,
2017-11-02,NSE,196222.1,24351.07,20066.64,200506.53,1293,,
2017-11-03,NSE,226026.52,46273.91,33980.07,238320.36,1319,,
2017-11-06,NSE,238320.36,28252.25,21918.84,244653.77,1317,,
2017-11-07,NSE,244653.77,33618.55,22978.91,255293.4,1318,,
2017-11-08,NSE,255293.4,24341.39,19259.44,260375.36,1316,,
2017-11-09,NSE,260375.36,25879.75,24084.46,262170.65,1315,,
2017-11-10,NSE,262170.65,27512.45,22786.98,266896.12,1315,,
2017-11-13,NSE,266896.12,27187.19,18441.73,275641.58,1318,,
2017-11-14,NSE,275641.58,22662.48,17999.55,280304.51,1319,,
2017-11-15,NSE,280304.51,19961.03,18661.85,281603.69,1331,,
2017-11-16,NSE,281603.69,18214.06,20832.9,278984.85,1331,,
2017-11-17,NSE,278984.85,25334.25,23415.15,280903.96,1333,,
2017-11-20,NSE,280903.96,20709.95,19607.87,282006.04,1336,,
2017-11-21,NSE,282006.04,26143.38,20126.57,288022.84,1337,,
2017-11-22,NSE,288022.84,22245.7,18591.76,291676.78,1337,,
2017-11-23,NSE,291676.78,24722.17,21952.58,294446.37,1341,,
2017-11-24,NSE,294446.37,22736.98,21219.0,295964.35,1343,,
2017-11-27,NSE,242184.88,19146.61,17932.45,243399.04,1310,,
2017-11-28,NSE,228311.34,22047.44,18953.87,231404.92,1308,,
2017-11-29,NSE,300272.08,30922.84,29285.62,301909.3,1341,,
2017-11-30,NSE,301909.3,16757.99,9321.34,309345.96,1373,,
2017-12-01,NSE,309231.19,34609.4,24640.28,319200.32,1376,,
2017-12-04,NSE,319200.32,16497.32,16829.22,318868.42,1378,,
2017-12-05,NSE,318868.42,25107.82,25399.91,318576.33,1387,,
2017-12-06,NSE,318576.33,20151.87,17055.2,321672.99,1394,,
2017-12-07,NSE,321672.99,41572.09,37011.16,326233.92,1410,,
2017-12-08,NSE,326233.92,27195.16,31221.36,322207.72,1410,,
2017-12-11,NSE,322207.72,26241.27,19430.32,329018.67,1431,,
2017-12-12,NSE,329018.67,23732.65,17945.12,334806.2,1434,,
2017-12-13,NSE,334806.2,22747.44,18770.98,338782.66,1432,,
2017-12-14,NSE,338782.66,17190.88,19532.98,336440.55,1410,,
2017-12-15,NSE,336440.55,22361.64,23915.35,334886.84,1413,,
2017-12-18,NSE,334744.81,23635.42,24539.7,333840.53,1416,,
