date,exchange,beginning_outstanding,fresh_exposure,exposure_liquidated,end_outstanding,securities_count,amount_financed,exposure_taken
2017-06-22,NSE,101.3,,,100.75,1099,,
2017-06-23,NSE,100.75,,,100.99,1099,,
2017-06-27,NSE,100.99,15.3,,108.87,1101,,
2017-06-28,NSE,108.87,,,109.9,1100,,
2017-06-29,NSE,109.9,,,111.13,1100,,
2017-06-30,NSE,111.13,,,111.21,1100,,
2017-07-03,NSE,111.21,,,110.95,1105,,
2017-07-04,NSE,110.95,,,110.19,1103,,
2017-07-05,NSE,110.19,,,109.14,1130,,
2017-07-06,NSE,109.14,,,108.42,1114,,
2017-07-07,NSE,108.42,,,108.48,1108,,
2017-07-10,NSE,108.48,,,111.82,1107,,
2017-07-11,NSE,111.82,,,108.98,1110,,
2017-07-12,NSE,108.98,,,103.91,1109,,
2017-07-13,NSE,103.86,,,105.25,1113,,
2017-07-14,NSE,105.25,,11.71,97.76,1112,,
2017-07-17,NSE,97.76,,,96.75,1107,,
2017-07-18,NSE,96.75,,,97.07,1105,,
2017-07-19,NSE,97.07,,,99.47,1097,,
2017-07-20,NSE,99.47,,,102.24,1102,,
2017-07-21,NSE,102.24,,,98.99,1106,,
2017-07-24,NSE,98.99,,,97.1,1104,,
2017-07-25,NSE,97.1,,,96.99,1105,,
2017-07-26,NSE,96.99,,,97.75,1108,,
2017-07-27,NSE,97.75,,,98.15,1107,,
2017-07-28,NSE,98.15,,,99.86,1105,,
2017-07-31,NSE,99.85,,,102.05,1105,,
2017-08-01,NSE,102.05,,,105.46,1108,,
2017-08-02,NSE,105.46,12.61,,110.91,1106,,
2017-08-03,NSE,110.9,23.02,10.47,123.45,1108,,
2017-08-04,NSE,123.45,35.86,16.19,143.12,1118,,
2017-08-09,NSE,180.93,1291.67,84.44,1388.16,1274,,
2017-08-11,NSE,224.88,956.5,115.47,1065.91,1268,,
2017-08-14,NSE,1065.91,447.67,122.02,1391.56,1282,,
2017-08-16,NSE,959.82,59.76,68.59,950.99,1264,,
2017-08-17,NSE,1382.73,135.22,71.32,1446.64,1281,,
2017-08-18,NSE,1105.69,108.04,65.4,1148.33,1272,,
2017-08-21,NSE,1145.25,115.15,127.78,1132.62,1268,,
2017-08-22,NSE,1132.62,172.81,68.38,1237.05,1306,,
2017-08-23,NSE,1237.05,81.62,94.14,1224.52,1309,,
2017-08-24,NSE,1224.52,92.51,301.6,1015.44,1307,,
2017-08-28,NSE,1356.38,177.26,166.27,1367.37,1307,,
2017-08-29,NSE,1367.37,132.53,90.8,1409.1,1301,,
2017-08-30,NSE,1051.38,100.0,113.95,1037.44,1286,,
2017-08-31,NSE,1395.63,142.44,122.62,1415.45,1297,,
2017-09-01,NSE,1411.13,176.29,144.35,1443.08,1303,,
2017-09-04,NSE,1447.39,165.92,123.46,1489.84,1301,,
2017-09-05,NSE,1489.67,140.11,210.64,1419.14,1306,,
2017-09-06,NSE,1063.26,146.49,105.35,1104.4,1292,,
2017-09-07,NSE,1460.46,186.63,157.41,1489.67,1302,,
2017-09-08,NSE,1489.67,176.67,173.95,1492.38,1301,,
2017-09-11,NSE,1492.27,164.59,165.88,1490.99,1303,,
2017-09-12,NSE,1491.09,172.68,175.69,1488.08,1301,,
2017-09-13,NSE,1491.16,209.34,158.19,1542.31,1302,,
2017-09-14,NSE,1542.31,157.15,144.05,1555.41,1301,,
2017-09-15,NSE,1555.41,157.22,145.07,1567.57,1301,,
2017-09-18,NSE,1567.57,186.6,160.51,1593.65,1299,,
2017-09-19,NSE,1593.65,207.2,165.03,1635.82,1297,,
2017-09-20,NSE,1608.48,225.08,158.02,1675.54,1296,,
2017-09-21,NSE,1702.88,184.18,143.87,1743.18,1296,,
2017-09-22,NSE,1743.18,217.17,152.47,1807.89,1295,,
2017-09-25,NSE,1807.89,124.37,144.62,1787.65,1296,,
2017-09-26,NSE,1787.65,138.51,112.97,1813.18,1294,,
2017-09-27,NSE,1813.18,157.79,172.23,1798.74,1295,,
2017-09-28,NSE,1756.69,129.3,116.83,1769.16,1294,,
2017-09-29,NSE,1810.34,116.63,102.59,1824.38,1296,,
2017-10-03,NSE,1824.38,120.76,140.61,1804.53,1302,,
2017-10-04,NSE,1805.4,126.34,127.96,1803.78,1306,,
2017-10-05,NSE,1803.78,167.47,131.19,1840.06,1313,,
2017-10-06,NSE,1840.06,279.58,264.22,1855.43,1311,,
2017-10-09,NSE,1855.43,201.18,154.95,1901.66,1313,,
2017-10-10,NSE,1901.66,196.98,176.24,1922.4,1316,,
2017-10-11,NSE,1921.65,248.65,180.0,1990.3,1313,,
