date,exchange,beginning_outstanding,fresh_exposure,exposure_liquidated,end_outstanding,securities_count,amount_financed,exposure_taken
2011-02-01,NSE,16376.96,532.66,749.32,16160.3,961,,
2011-02-02,NSE,16160.3,576.01,566.87,16169.44,958,,
2011-02-03,NSE,16169.44,429.72,679.45,15919.71,960,,
2011-02-04,NSE,15919.71,515.49,681.98,15753.22,961,,
2011-02-07,NSE,15753.22,882.76,1050.75,15585.23,962,,
2011-02-08,NSE,15585.23,919.32,756.28,15748.28,961,,
2011-02-09,NSE,15748.28,610.35,674.32,15684.3,962,,
2011-02-10,NSE,15684.3,805.53,820.84,15668.99,965,,
2011-02-11,NSE,15668.99,777.53,801.67,15644.85,965,,
2011-02-14,NSE,15644.85,611.23,926.74,15329.34,966,,
2011-02-15,NSE,15329.34,629.52,821.32,15137.54,962,,
2011-02-16,NSE,15137.54,387.21,483.9,15040.85,963,,
2011-02-17,NSE,15040.85,427.6,626.16,14842.28,965,,
2011-02-18,NSE,14842.28,442.77,518.85,14766.2,964,,
2011-02-21,NSE,14766.2,672.39,702.91,14735.68,961,,
2011-02-22,NSE,14735.68,396.66,433.04,14699.3,960,,
2011-02-23,NSE,14699.3,439.43,418.94,14719.79,960,,
2011-02-24,NSE,14719.79,564.29,430.55,14853.53,961,,
2011-02-25,NSE,14853.53,823.97,571.69,15105.81,962,,
2011-02-28,NSE,15105.81,507.58,587.03,15026.36,961,,
2011-03-01,NSE,15026.36,514.91,606.59,14934.68,962,,
2011-03-03,NSE,14934.68,474.7,850.25,14559.14,963,,
2011-03-04,NSE,14559.14,396.65,602.01,14353.78,970,,
2011-03-07,NSE,14353.78,403.05,492.03,14264.79,957,,
2011-03-08,NSE,14264.79,456.96,464.41,14257.35,958,,
2011-03-09,NSE,14257.35,341.97,366.71,14232.61,958,,
2011-03-10,NSE,14232.61,330.62,338.08,14225.15,957,,
2011-03-11,NSE,14225.15,806.49,853.64,14178.0,960,,
2011-03-14,NSE,14178.0,908.36,1011.64,14074.72,957,,
2011-03-15,NSE,14074.72,853.79,582.19,14346.33,956,,
2011-03-16,NSE,14348.72,564.12,688.54,14224.3,955,,
2011-03-17,NSE,14224.3,521.52,563.32,14182.5,956,,
2011-03-18,NSE,14182.5,496.1,450.18,14228.42,961,,
2011-03-21,NSE,14228.42,629.59,437.65,14420.37,960,,
2011-03-22,NSE,14420.37,591.01,445.36,14566.01,961,,
2011-03-23,NSE,14566.01,595.94,786.15,14375.81,961,,
2011-03-24,NSE,14375.81,696.0,786.38,14285.43,957,,
2011-03-25,NSE,14285.43,382.6,627.92,14040.11,956,,
2011-03-28,NSE,14040.11,369.49,687.57,13722.03,956,,
2011-03-29,NSE,13722.03,427.99,631.29,13518.74,956,,
2011-03-30,NSE,13518.74,441.19,589.43,13370.5,955,,
2011-03-31,NSE,13370.5,605.23,573.56,13402.17,954,,
2011-04-01,NSE,13402.17,441.11,630.46,13212.83,954,,
2011-04-04,NSE,13212.83,529.37,568.86,13173.34,955,,
2011-04-05,NSE,13173.34,713.32,582.08,13304.58,954,,
2011-04-06,NSE,13304.58,623.76,645.88,13282.46,953,,
2011-04-07,NSE,13282.46,742.66,651.91,13373.21,955,,
2011-04-08,NSE,13373.21,616.17,541.34,13448.04,948,,
2011-04-11,NSE,13448.04,709.59,564.14,13593.48,950,,
2011-04-13,NSE,13593.48,559.57,507.84,13645.22,951,,
2011-04-15,NSE,13645.22,463.57,487.16,13621.62,950,,
2011-04-18,NSE,13621.62,734.68,526.35,13829.95,954,,
2011-04-19,NSE,13829.95,812.03,579.16,14062.82,955,,
2011-04-20,NSE,14062.82,615.24,543.14,14134.91,955,,
2011-04-21,NSE,14134.91,656.42,644.15,14147.18,952,,
2011-04-25,NSE,14147.18,663.49,592.26,14218.42,949,,
2011-04-26,NSE,14218.42,496.3,573.04,14141.68,948,,
2011-04-27,NSE,14141.68,716.96,537.95,14320.68,950,,
2011-04-28,NSE,14320.68,686.66,511.57,14495.77,951,,
2011-04-29,NSE,14495.77,657.14,562.77,14590.14,949,,
2011-05-02,NSE,14590.14,563.9,665.74,14488.31,951,,
2011-05-03,NSE,14488.31,627.82,457.46,14658.66,955,,
2011-05-04,NSE,14658.66,872.83,635.73,14895.76,955,,
2011-05-05,NSE,14895.76,591.2,589.38,14897.59,955,,
2011-05-06,NSE,14897.59,513.09,443.96,14966.72,955,,
2011-05-09,NSE,14966.72,416.57,623.36,14759.93,957,,
2011-05-10,NSE,14759.93,383.24,402.69,14740.48,958,,
2011-05-11,NSE,14740.48,403.8,331.48,14812.8,957,,
2011-05-12,NSE,14812.8,376.61,442.68,14746.73,955,,
2011-05-13,NSE,14746.73,498.1,406.0,14838.82,954,,
2011-05-16,NSE,14838.82,395.37,489.59,14744.6,955,,
2011-05-17,NSE,14744.6,427.82,279.78,14892.65,957,,
2011-05-18,NSE,14892.65,506.0,390.2,15008.45,956,,
2011-05-19,NSE,15008.45,522.73,475.97,15055.21,956,,
2011-05-20,NSE,15055.21,660.92,475.61,15240.52,954,,
2011-05-23,NSE,15240.52,491.46,556.06,15175.92,955,,
2011-05-24,NSE,15175.92,638.21,652.66,15161.47,956,,
2011-05-25,NSE,15161.47,694.54,513.23,15342.78,956,,
2011-05-26,NSE,15342.78,397.73,472.51,15268.0,952,,
2011-05-27,NSE,15268.0,356.93,538.62,15086.31,954,,
2011-05-30,NSE,15086.31,578.06,540.93,15123.44,956,,
2011-05-31,NSE,15123.44,770.44,507.86,15386.02,955,,
2011-06-01,NSE,15386.02,507.41,582.74,15310.69,956,,
2011-06-02,NSE,15310.69,435.31,555.86,15190.14,956,,
2011-06-03,NSE,15190.14,557.88,393.88,15354.14,958,,
2011-06-06,NSE,15354.14,418.97,388.44,15384.67,958,,
2011-06-07,NSE,15384.67,403.46,441.71,15346.41,957,,
2011-06-08,NSE,15346.41,390.05,407.71,15328.75,956,,
2011-06-09,NSE,15328.75,338.4,323.27,15343.88,955,,
2011-06-10,NSE,15343.88,456.91,338.34,15462.45,955,,
2011-06-13,NSE,15462.45,409.54,385.31,15486.68,955,,
2011-06-14,NSE,15486.68,414.97,340.56,15561.09,955,,
2011-06-15,NSE,15561.09,507.03,377.87,15690.25,956,,
2011-06-16,NSE,15690.25,600.12,495.17,15795.2,961,,
2011-06-17,NSE,15795.2,473.95,406.68,15862.47,948,,
2011-06-20,NSE,15862.47,378.07,360.18,15880.36,946,,
2011-06-21,NSE,15880.36,482.56,439.95,15922.97,946,,
2011-06-22,NSE,15922.97,587.02,712.14,15797.86,946,,
2011-06-23,NSE,15797.86,312.7,560.93,15549.63,944,,
2011-06-24,NSE,15549.63,285.22,568.39,15266.45,944,,
2011-06-27,NSE,15266.45,462.51,630.33,15098.63,944,,
2011-06-28,NSE,15098.63,448.99,591.84,14955.79,945,,
2011-06-29,NSE,14955.79,486.42,571.8,14870.41,945,,
2011-06-30,NSE,14870.41,469.91,563.37,14776.94,945,,
2011-07-01,NSE,14776.94,544.06,624.11,14696.9,947,,
2011-07-04,NSE,14696.9,488.33,462.86,14722.37,947,,
2011-07-05,NSE,14722.37,529.53,576.2,14675.7,943,,
