date,exchange,beginning_outstanding,fresh_exposure,exposure_liquidated,end_outstanding,securities_count,amount_financed,exposure_taken
2011-02-01,NSE,163.77,5.33,7.49,161.6,961,,
2011-02-02,NSE,161.6,5.76,5.67,161.69,958,,
2011-02-03,NSE,161.69,4.3,6.79,159.2,960,,
2011-02-04,NSE,159.2,5.15,6.82,157.53,961,,
2011-02-07,NSE,157.53,8.83,10.51,155.85,962,,
2011-02-08,NSE,155.85,9.19,7.56,157.48,961,,
2011-02-09,NSE,157.48,6.1,6.74,156.84,962,,
2011-02-10,NSE,156.84,8.06,8.21,156.69,965,,
2011-02-11,NSE,156.69,7.78,8.02,156.45,965,,
2011-02-14,NSE,156.45,6.11,9.27,153.29,966,,
2011-02-15,NSE,153.29,6.3,8.21,151.38,962,,
2011-02-16,NSE,151.38,3.87,4.84,150.41,963,,
2011-02-17,NSE,150.41,4.28,6.26,148.42,965,,
2011-02-18,NSE,148.42,4.43,5.19,147.66,964,,
2011-02-21,NSE,147.66,6.72,7.03,147.36,961,,
2011-02-22,NSE,147.36,3.97,4.33,146.99,960,,
2011-02-23,NSE,146.99,4.39,4.19,147.2,960,,
2011-02-24,NSE,147.2,5.64,4.31,148.54,961,,
2011-02-25,NSE,148.54,8.24,5.72,151.06,962,,
2011-02-28,NSE,151.06,5.08,5.87,150.26,961,,
2011-03-01,NSE,150.26,5.15,6.07,149.35,962,,
2011-03-03,NSE,149.35,4.75,8.5,145.59,963,,
2011-03-04,NSE,145.59,3.97,6.02,143.54,970,,
2011-03-07,NSE,143.54,4.03,4.92,142.65,957,,
2011-03-08,NSE,142.65,4.57,4.64,142.57,958,,
2011-03-09,NSE,142.57,3.42,3.67,142.33,958,,
2011-03-10,NSE,142.33,3.31,3.38,142.25,957,,
2011-03-11,NSE,142.25,8.06,8.54,141.78,960,,
2011-03-14,NSE,141.78,9.08,10.12,140.75,957,,
2011-03-15,NSE,140.75,8.54,5.82,143.46,956,,
2011-03-16,NSE,143.49,5.64,6.89,142.24,955,,
2011-03-17,NSE,142.24,5.22,5.63,141.82,956,,
2011-03-18,NSE,141.82,4.96,4.5,142.28,961,,
2011-03-21,NSE,142.28,6.3,4.38,144.2,960,,
2011-03-22,NSE,144.2,5.91,4.45,145.66,961,,
2011-03-23,NSE,145.66,5.96,7.86,143.76,961,,
2011-03-24,NSE,143.76,6.96,7.86,142.85,957,,
2011-03-25,NSE,142.85,3.83,6.28,140.4,956,,
2011-03-28,NSE,140.4,3.69,6.88,137.22,956,,
