SEBI REPORT For Trade date 06-Mar-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,384120.67,
2,Fresh Exposure taken during the day,8686.92,
3,Exposure liquidated during the day,7301.25,
4,Net scripwise outstanding at the end of the day,385506.34,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,23145,84.64
Reliance Industries Ltd,INE002A01018,205235,2987.17
SJVN LIMITED,INE002L01015,710370,613.38
Mahanagar Gas Limited,INE002S01010,20191,250.95
"Siemens Ltd.,",INE003A01024,6847,233.72
Protean eGov Technologies Limited,INE004A01022,49797,514.76
Avantel Limited,INE005B01027,300210,514.67
ASTRAL LIMITED,INE006I01046,6580,105.63
CRISIL Ltd.,INE007A01025,1903,92.16
Geojit Financial Services Limited,INE007B01023,47463,48.81
Fedbank Financial Services Limited,INE007N01010,51002,74.47
IDBI LTD,INE008A01015,760769,759.74
Infosys Ltd,INE009A01021,194986,2794.39
Bikaji Foods International Limited,INE00E101023,10794,83.71
Hariom Pipe Industries Limited,INE00EV01017,9248,41.38
Prudent Corporate Advisory Services Limited,INE00F201020,402,10.30
ACUTAAS CHEMICALS LIMITED,INE00FF01025,5110,95.49
SWIGGY LIMITED,INE00H001014,220870,860.60
STOVE KRAFT LIMITED,INE00IN01015,8108,50.44
Craftsman Automation Limited,INE00LO01017,713,55.56
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,295146,728.80
Interarch Building Solutions Limited,INE00M901018,2439,50.85
Studds Accessories Limited,INE00Q601028,6032,32.48
DALMIA BHARAT LIMITED,INE00R701025,4201,90.25
Highway Infrastructure Limited,INE00RL01028,9557,5.65
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,36496,47.09
Manorama Industries Limited,INE00VM01036,4769,69.33
AFFLE 3I LIMITED,INE00WC01027,7340,132.59
Flair Writing Industries Limited,INE00Y201027,2373,7.66
