SEBI REPORT For Trade date 11-May-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,427315.71,
2,Fresh Exposure taken during the day,21217.79,
3,Exposure liquidated during the day,14537.39,
4,Net scripwise outstanding at the end of the day,433996.11,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,17173,64.10
Reliance Industries Ltd,INE002A01018,312854,4443.56
SJVN LIMITED,INE002L01015,624073,524.15
Mahanagar Gas Limited,INE002S01010,18459,223.66
"Siemens Ltd.,",INE003A01024,4396,160.29
Protean eGov Technologies Limited,INE004A01022,49139,426.92
Avantel Limited,INE005B01027,181500,288.52
ASTRAL LIMITED,INE006I01046,15997,255.01
CRISIL Ltd.,INE007A01025,2393,109.76
Geojit Financial Services Limited,INE007B01023,32455,24.02
Fedbank Financial Services Limited,INE007N01010,56198,82.23
IDBI LTD,INE008A01015,1312289,1079.39
Infosys Ltd,INE009A01021,417083,5287.38
Bikaji Foods International Limited,INE00E101023,8830,68.25
Hariom Pipe Industries Limited,INE00EV01017,8677,32.97
Prudent Corporate Advisory Services Limited,INE00F201020,262,7.08
ACUTAAS CHEMICALS LIMITED,INE00FF01025,8244,184.22
SWIGGY LIMITED,INE00H001014,295758,984.59
STOVE KRAFT LIMITED,INE00IN01015,12962,77.44
Craftsman Automation Limited,INE00LO01017,1385,124.49
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,351660,828.49
Interarch Building Solutions Limited,INE00M901018,3805,77.85
Studds Accessories Limited,INE00Q601028,6246,32.72
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,8935,172.70
Highway Infrastructure Limited,INE00RL01028,107,0.08
Nila Spaces Ltd,INE00S901012,1000,0.15
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,35194,42.53
Manorama Industries Limited,INE00VM01036,3149,47.97
AFFLE 3I LIMITED,INE00WC01027,11075,188.25
SEDEMAC MECHATRONICS LIMITED,INE00XB01019,796,15.24
Flair Writing Industries Limited,INE00Y201027,1916,6.33
A B INFRABUILD LIMITED,INE00YB01025,5933,0.93
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,3166,14.81
Entero Healthcare Solutions Limited,INE010601016,575,6.77
PRISM JOHNSON LIMITED.,INE010A01011,26325,37.40
Zydus Lifesciences Limited,INE010B01027,19377,189.02
Tejas Networks Limited,INE010J01012,161848,892.27
L&T Technology Services Limited,INE010V01017,5365,209.85
BALU FORGE INDUSTRIES LIMITED,INE011E01029,13031,65.25
Tega Industries Limited,INE011K01018,3091,59.20
ACC,INE012A01025,19992,326.69
Onesource Specialty Pharma Limited,INE013P01021,7254,104.42
Tinna Rubber and Infrastructure Limited,INE015C01016,617,4.79
DABUR INDIA,INE016A01026,37741,183.43
CEINSYS TECH LIMITED,INE016Q01014,2366,26.09
"Great Eastern Shipping Co. Ltd.,",INE017A01032,27666,419.75
LARSEN & TOU,INE018A01030,87631,3393.51
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,27344,198.81
JSW SL,INE019A01038,17043,214.77
Himadri Speciality Chemical Ltd.,INE019C01026,75290,420.96
STANLEY LIFESTYLES LIMITED,INE01A001028,4080,7.12
Antony Waste Handling Cell Limited,INE01BK01022,8542,45.39
Vishal Mega Mart Limited,INE01EA01019,260771,345.04
Ritco Logistics Limited,INE01EG01016,81,0.24
Baazar Style Retail Limited,INE01FR01028,10627,42.20
Sky Gold And Diamonds Limited,INE01IU01018,21888,90.00
eMudhra Limited,INE01QM01018,3694,21.86
Vikran Engineering Limited,INE01R501028,492845,452.01
Canara HSBC Life Insurance Company Limited,INE01TY01017,24364,35.55
Spencer's Retail Limited,INE020801028,2,0.00
REC LIMITED,INE020B01018,412526,1551.68
Asian Paints Ltd.,INE021A01026,10999,284.69
Dodla Dairy Limited,INE021O01019,2784,31.45
ASIAN GRANITO INDIA LIMITED,INE022I01019,75325,56.54
Indian Energy Exchange Limited,INE022Q01020,285917,397.60
Nalwa Sons Investment Ltd,INE023A01030,33,2.04
Aeroflex Industries Limited,INE024001021,31431,107.57
Shilchar Technologies Ltd.,INE024F01011,3599,147.88
GRAVITA INDIA LIMITED,INE024L01027,11319,193.65
Goldiam International Ltd.,INE025B01025,22715,88.92
Artemis Medicare Services Limited,INE025R01021,1696,5.25
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,408374,674.73
"Lotus Chocolate Co. Ltd.,",INE026D01011,20,0.15
RASHTRIYA CH,INE027A01015,204470,304.27
Max Healthcare Institute Limited,INE027H01010,22007,241.05
Bank Of Baroda,INE028A01039,272650,752.31
BHARAT PETRO,INE029A01011,161000,504.96
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,2978,15.65
Anand Rayons Limited,INE02GA01012,2000,1.35
Raymond Lifestyle Limited,INE02ID01020,13619,131.89
Azad Engineering Limited,INE02IJ01035,7716,151.63
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,22529,45.83
Borosil Limited,INE02PY01013,6099,17.89
Brainbees Solutions Limited,INE02RE01045,59021,170.44
WONDER ELECTRICALS LIMITED,INE02WG01024,3001,4.04
Electronics Mart India Limited,INE02YR01019,56222,78.57
Corona Remedies Limited,INE02ZQ01018,274,4.67
"Hindustan Unilever Ltd.,",INE030A01027,31352,729.59
Housing &Urban Development Corporation Ltd.,INE031A01017,296101,661.72
Ajanta Pharma Ltd.,INE031B01049,3207,96.73
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,228165,296.68
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,14855,56.67
Arvind SmartSpaces Limited,INE034S01021,3673,25.41
SOTL,INE035D01020,1709,7.49
Gujarat Ambuja Exports Ltd.,INE036B01030,24962,39.84
KARUR VYSYA,INE036D01028,66951,198.97
Concord Enviro Systems Limited,INE037Z01029,581,2.38
Hindalco Industries Ltd.,INE038A01020,32695,310.28
T.V.Today Network Limited,INE038F01029,825,1.12
IFCI LTD,INE039A01010,811945,500.45
"Jamna Auto Industries Ltd.,",INE039C01032,91119,114.92
JASH ENGINEERING LIMITED,INE039O01029,6295,31.69
Jubilant Agri and Consumer Products Limited,INE03CC01015,106,2.04
Max Estates Limited,INE03EI01018,2902,12.93
Go Digit General Insurance Limited,INE03JT01014,4270,14.60
Brigade Hotel Ventures Limited,INE03NU01014,1407,1.19
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,1709,17.12
Cohance Lifesciences Limited,INE03QK01018,238678,1162.56
Chemcon Speciality Chemicals Limited,INE03YM01018,118,0.30
HDFC Bank Ltd.,INE040A01034,647844,5295.50
Mayur Uniquoters ltd.,INE040D01038,1810,10.61
SUZLON ENERGY LTD.,INE040H01021,6359276,3495.95
"Dhampur Sugar Mills Ltd.,",INE041A01016,65956,96.87
Escorts Kubota Limited,INE042A01014,9614,320.17
GTL Ltd,INE043A01012,5000,0.31
Vijaya Diagnostic Centre Limited,INE043W01024,969,11.95
Sun Pharmaceutical Industries Ltd.,INE044A01036,22406,385.96
Paras Defence and Space Technologies Limited,INE045601023,41109,332.04
ADOR WELDING,INE045A01017,304,3.47
Nelco Ltd,INE045B01015,12488,97.89
Fineotex Chemical Limited,INE045J01034,124266,35.92
Reliance Industrial Infrastructure,INE046A01015,5612,48.99
Muthoot Microfin Limited,INE046W01019,14913,29.37
GRASIM INDUS,INE047A01021,2475,70.51
JAGSONPAL PH,INE048B01035,2983,6.82
Navin Fluorent International Ltd,INE048G01026,3455,229.73
"Himatsingka Seide Ltd.,",INE049A01027,83001,85.57
Wockhardt Ltd,INE049B01025,73482,1002.72
SBC EXPORTS LIMITED,INE04AK01028,850343,239.43
KPIT Technologies Ltd,INE04I401011,73686,639.53
ETHOS LIMITED,INE04TZ01018,1900,49.55
Seshaasai Technologies Limited,INE04VU01023,2825,7.89
Prakash Pipes Limited,INE050001010,3361,14.82
Elin Electronics Limited,INE050401020,3521,4.29
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,4973,84.28
IL & FS Investment Managers Ltd.,INE050B01023,200,0.02
Balaji Amines Ltd.,INE050E01027,6801,94.36
Rane (Madras)  Ltd.,INE050H01012,2238,18.01
Vardhman Special Steels Ltd,INE050M01012,1236,3.69
Vakrangee Softwares Ltd.,INE051B01021,45850,3.51
Windsor Machines Limited,INE052A01021,1450,4.59
Camlin Fine Sciences Ltd,INE052I01032,14153,19.96
BEST AGROLIFE LIMITED,INE052T01021,2956,0.79
Indian Hotels Co. Ltd,INE053A01029,85971,597.43
Indian Railway Finance Corporation,INE053F01010,1783337,2106.94
"V.I.P. Industries Ltd.,",INE054A01027,116154,366.20
Waterbase Limited,INE054C01015,202,0.10
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,10455,181.64
Cyient DLM Limited,INE055S01018,14749,61.67
IVALUE INFOSOLUTIONS LIMITED,INE056801025,159,0.39
Refex Industries Limited,INE056I01025,19529,53.74
Sanofi India Ltd,INE058A01010,1918,71.68
"Cipla Ltd.,",INE059A01026,22760,321.66
Simplex Infrastructures Limited,INE059B01024,5,0.01
La Opala RG Ltd.,INE059D01020,3897,8.84
Hindware Home Innovation Limited,INE05AN01011,5760,13.02
Ratnaveer Precision Engineering Limited,INE05CZ01011,349707,572.83
Central Mine Planning & Design Institute Limited,INE05HV01027,13546,28.19
Indogulf Cropsciences Limited,INE05J901018,126,0.12
Amir Chand Jagdish Kumar (Exports) Limited,INE05TO01019,2100,2.80
BHARAT COKING COAL LIMITED,INE05XR01022,481052,166.58
Navneet Education Limited,INE060A01024,6253,9.21
FORTIS HEALTHCARE LIMITED,INE061F01013,19051,180.87
"State Bank Of India,",INE062A01020,458922,4764.12
ALICON,INE062D01024,54,0.47
Pondy Oxides & Chemicals Limited,INE063E01053,5457,72.10
Equitas Small Finance Bank Limited,INE063P01018,132982,88.07
TIMES GROUP,INE064A01026,556128,1705.66
Trident Ltd.,INE064C01022,897201,254.30
AEROFLEX ENTERPRISES LIMITED,INE065D01027,450,0.41
Indegene Limited,INE065X01017,6713,37.33
Eicher Motors Ltd.,INE066A01021,5919,433.00
Hindustan Aeronautics Limited,INE066F01020,75179,3463.29
Wonderla Holidays Limited,INE066O01014,3217,19.66
Inox Wind Limited,INE066P01011,552296,671.16
CG Power and Industrial Solutions Limited,INE067A01029,58285,461.49
CANTABIL RETAIL INDIA LIMITED,INE068L01024,1639,4.27
Gland Pharma Limited,INE068V01023,1896,34.20
EMBASSY DEVELOPMENTS LIMITED,INE069I01010,3593,3.51
ECOS (India) Mobility & Hospitality Limited,INE06HJ01020,2445,4.15
INDIQUBE SPACES LIMITED,INE06ST01018,551,1.22
LAXMI INDIA FINANCE LIMITED,INE06WU01026,1213,1.72
SHANTI GOLD INTERNATIONAL LIMITED,INE06ZD01017,12024,24.30
SHREE CEMENT,INE070A01015,374,97.62
Jai Corp Limited,INE070D01027,26712,37.18
INSECTCID,INE070I01018,362,2.72
Ugar Sugar Works Ltd.,INE071E01023,509,0.24
Epigral Limited,INE071N01016,3388,50.20
