SEBI REPORT For Trade date 15-Apr-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,382582.24,
2,Fresh Exposure taken during the day,18358.99,
3,Exposure liquidated during the day,21112.94,
4,Net scripwise outstanding at the end of the day,379828.29,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,18194,66.41
Reliance Industries Ltd,INE002A01018,311412,4335.66
SJVN LIMITED,INE002L01015,549333,460.26
Mahanagar Gas Limited,INE002S01010,21126,251.62
"Siemens Ltd.,",INE003A01024,5194,180.55
Protean eGov Technologies Limited,INE004A01022,46349,444.50
Avantel Limited,INE005B01027,319538,519.35
ASTRAL LIMITED,INE006I01046,9415,151.38
CRISIL Ltd.,INE007A01025,2265,103.40
Geojit Financial Services Limited,INE007B01023,27840,20.16
Fedbank Financial Services Limited,INE007N01010,54760,78.71
IDBI LTD,INE008A01015,839920,720.00
Infosys Ltd,INE009A01021,178486,2472.29
Bikaji Foods International Limited,INE00E101023,9595,73.95
Hariom Pipe Industries Limited,INE00EV01017,6464,26.01
Prudent Corporate Advisory Services Limited,INE00F201020,416,10.82
ACUTAAS CHEMICALS LIMITED,INE00FF01025,18639,419.77
SWIGGY LIMITED,INE00H001014,241411,841.11
STOVE KRAFT LIMITED,INE00IN01015,12145,72.45
Craftsman Automation Limited,INE00LO01017,898,66.04
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,280589,675.88
Interarch Building Solutions Limited,INE00M901018,2999,59.92
Dharmaj Crop Guard Limited,INE00OQ01016,100,0.24
Studds Accessories Limited,INE00Q601028,6548,34.07
Synergy Green Industries Limited,INE00QT01015,10,0.05
DALMIA BHARAT LIMITED,INE00R701025,5250,107.26
Highway Infrastructure Limited,INE00RL01028,2175,1.37
Nila Spaces Ltd,INE00S901012,3036,0.41
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,39715,48.44
Manorama Industries Limited,INE00VM01036,3825,53.71
AFFLE 3I LIMITED,INE00WC01027,8910,152.42
SEDEMAC MECHATRONICS LIMITED,INE00XB01019,2,0.03
Flair Writing Industries Limited,INE00Y201027,1818,5.89
A B INFRABUILD LIMITED,INE00YB01025,1399,0.23
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2862,14.17
Entero Healthcare Solutions Limited,INE010601016,2435,28.50
PRISM JOHNSON LIMITED.,INE010A01011,14582,21.59
Zydus Lifesciences Limited,INE010B01027,13869,136.82
Tejas Networks Limited,INE010J01012,187279,994.56
L&T Technology Services Limited,INE010V01017,6041,234.40
BALU FORGE INDUSTRIES LIMITED,INE011E01029,16729,79.46
Tega Industries Limited,INE011K01018,2674,52.26
ACC,INE012A01025,17445,292.49
R&B Denims Limited,INE012Q01039,0,0.00
Onesource Specialty Pharma Limited,INE013P01021,204948,3033.14
Tinna Rubber and Infrastructure Limited,INE015C01016,407,3.09
DABUR INDIA,INE016A01026,21795,109.02
CEINSYS TECH LIMITED,INE016Q01014,335,3.85
"Great Eastern Shipping Co. Ltd.,",INE017A01032,10253,135.76
LARSEN & TOU,INE018A01030,52603,2032.07
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,13468,108.01
JSW SL,INE019A01038,4878,57.78
Himadri Speciality Chemical Ltd.,INE019C01026,44583,218.18
STANLEY LIFESTYLES LIMITED,INE01A001028,3747,6.15
Antony Waste Handling Cell Limited,INE01BK01022,6633,34.57
Vishal Mega Mart Limited,INE01EA01019,287386,369.65
Ritco Logistics Limited,INE01EG01016,81,0.24
Baazar Style Retail Limited,INE01FR01028,8810,26.20
Sky Gold And Diamonds Limited,INE01IU01018,14437,50.82
eMudhra Limited,INE01QM01018,7070,39.67
Vikran Engineering Limited,INE01R501028,554630,512.44
Canara HSBC Life Insurance Company Limited,INE01TY01017,6110,8.82
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,454766,1689.41
Asian Paints Ltd.,INE021A01026,12729,319.53
Dodla Dairy Limited,INE021O01019,890,10.04
ASIAN GRANITO INDIA LIMITED,INE022I01019,5526,4.02
Indian Energy Exchange Limited,INE022Q01020,203115,293.13
Nalwa Sons Investment Ltd,INE023A01030,16,1.00
Aeroflex Industries Limited,INE024001021,41252,109.62
Shilchar Technologies Ltd.,INE024F01011,2981,117.50
GRAVITA INDIA LIMITED,INE024L01027,13439,222.99
Goldiam International Ltd.,INE025B01025,21066,79.15
Artemis Medicare Services Limited,INE025R01021,8290,20.31
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,405604,669.62
"Lotus Chocolate Co. Ltd.,",INE026D01011,10,0.08
RASHTRIYA CH,INE027A01015,198216,294.68
Max Healthcare Institute Limited,INE027H01010,20090,217.86
Bank Of Baroda,INE028A01039,193427,542.47
BHARAT PETRO,INE029A01011,96916,307.72
Kalyani Investment Company Limited,INE029L01018,8,0.38
ROSSARI BIOTECH LIMITED,INE02A801020,1066,5.99
Anand Rayons Limited,INE02GA01012,2000,1.35
Raymond Lifestyle Limited,INE02ID01020,10671,108.08
Azad Engineering Limited,INE02IJ01035,15914,278.84
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,17142,39.44
Borosil Limited,INE02PY01013,3243,10.68
Brainbees Solutions Limited,INE02RE01045,51289,152.59
WONDER ELECTRICALS LIMITED,INE02WG01024,3965,4.66
Electronics Mart India Limited,INE02YR01019,54117,73.17
Corona Remedies Limited,INE02ZQ01018,157,2.48
"Hindustan Unilever Ltd.,",INE030A01027,21701,496.09
Housing &Urban Development Corporation Ltd.,INE031A01017,589722,1227.67
Ajanta Pharma Ltd.,INE031B01049,1229,35.54
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,222293,288.88
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,22407,82.33
Arvind SmartSpaces Limited,INE034S01021,4322,29.31
SOTL,INE035D01020,1663,6.91
Gujarat Ambuja Exports Ltd.,INE036B01030,20644,29.70
KARUR VYSYA,INE036D01028,38310,106.76
Concord Enviro Systems Limited,INE037Z01029,1171,4.29
Hindalco Industries Ltd.,INE038A01020,32663,293.27
T.V.Today Network Limited,INE038F01029,1087,1.41
IFCI LTD,INE039A01010,736469,438.26
"Jamna Auto Industries Ltd.,",INE039C01032,84333,107.61
JASH ENGINEERING LIMITED,INE039O01029,6711,33.61
Jubilant Agri and Consumer Products Limited,INE03CC01015,106,2.04
Max Estates Limited,INE03EI01018,2012,9.43
VL E-Governance & IT Solutions Limited,INE03HW01020,5000,1.00
Go Digit General Insurance Limited,INE03JT01014,3553,12.38
Brigade Hotel Ventures Limited,INE03NU01014,1307,1.12
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,1625,15.71
Cohance Lifesciences Limited,INE03QK01018,25094,104.76
Chemcon Speciality Chemicals Limited,INE03YM01018,118,0.30
HDFC Bank Ltd.,INE040A01034,427127,3601.87
Mayur Uniquoters ltd.,INE040D01038,1640,9.52
SUZLON ENERGY LTD.,INE040H01021,6033002,3200.30
"Dhampur Sugar Mills Ltd.,",INE041A01016,51831,73.64
Escorts Kubota Limited,INE042A01014,4072,143.34
GTL Ltd,INE043A01012,5000,0.31
Vijaya Diagnostic Centre Limited,INE043W01024,2778,26.70
Sun Pharmaceutical Industries Ltd.,INE044A01036,32840,548.84
Paras Defence and Space Technologies Limited,INE045601023,27709,191.81
ADOR WELDING,INE045A01017,138,1.62
Nelco Ltd,INE045B01015,7113,58.24
Fineotex Chemical Limited,INE045J01034,88618,25.43
Reliance Industrial Infrastructure,INE046A01015,6932,58.72
Muthoot Microfin Limited,INE046W01019,4931,8.25
GRASIM INDUS,INE047A01021,3063,86.32
JAGSONPAL PH,INE048B01035,2918,6.62
Navin Fluorent International Ltd,INE048G01026,3566,225.69
"Himatsingka Seide Ltd.,",INE049A01027,55967,63.51
Wockhardt Ltd,INE049B01025,91134,1278.32
SBC EXPORTS LIMITED,INE04AK01028,1135581,330.43
KPIT Technologies Ltd,INE04I401011,57319,518.45
ETHOS LIMITED,INE04TZ01018,552,15.05
Seshaasai Technologies Limited,INE04VU01023,1420,4.04
Prakash Pipes Limited,INE050001010,3767,15.64
Elin Electronics Limited,INE050401020,807,1.56
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,3694,63.87
IL & FS Investment Managers Ltd.,INE050B01023,244,0.02
Balaji Amines Ltd.,INE050E01027,5715,75.99
Rane (Madras)  Ltd.,INE050H01012,2029,16.05
Vardhman Special Steels Ltd,INE050M01012,1981,5.45
Vakrangee Softwares Ltd.,INE051B01021,32950,2.61
Windsor Machines Limited,INE052A01021,1250,3.95
Camlin Fine Sciences Ltd,INE052I01032,28891,34.17
BEST AGROLIFE LIMITED,INE052T01021,2956,0.79
Indian Hotels Co. Ltd,INE053A01029,67292,474.28
Indian Railway Finance Corporation,INE053F01010,1630361,1951.50
"V.I.P. Industries Ltd.,",INE054A01027,16575,62.13
Waterbase Limited,INE054C01015,17090,9.60
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,7603,139.46
Cyient DLM Limited,INE055S01018,17673,72.49
IVALUE INFOSOLUTIONS LIMITED,INE056801025,358,0.87
Refex Industries Limited,INE056I01025,22828,62.37
Sanofi India Ltd,INE058A01010,1397,54.57
"Cipla Ltd.,",INE059A01026,25375,351.78
Simplex Infrastructures Limited,INE059B01024,4,0.01
La Opala RG Ltd.,INE059D01020,2712,6.65
Hindware Home Innovation Limited,INE05AN01011,6045,13.53
Ratnaveer Precision Engineering Limited,INE05CZ01011,346944,564.93
Indogulf Cropsciences Limited,INE05J901018,99,0.10
BHARAT COKING COAL LIMITED,INE05XR01022,286552,97.26
Likhitha Infrastructure Limited,INE060901027,1022,2.10
Navneet Education Limited,INE060A01024,4875,7.13
DEV INFORMATION TECHNOLOGY LIMITED,INE060X01034,300,0.11
FORTIS HEALTHCARE LIMITED,INE061F01013,20455,190.83
"State Bank Of India,",INE062A01020,148734,1615.92
ALICON,INE062D01024,54,0.47
Pondy Oxides & Chemicals Limited,INE063E01053,5388,68.32
Equitas Small Finance Bank Limited,INE063P01018,103991,66.13
TIMES GROUP,INE064A01026,604537,1839.99
Trident Ltd.,INE064C01022,892898,253.17
AEROFLEX ENTERPRISES LIMITED,INE065D01027,1570,1.19
Indegene Limited,INE065X01017,7802,43.44
Eicher Motors Ltd.,INE066A01021,8868,635.11
Hindustan Aeronautics Limited,INE066F01020,87841,3912.12
Wonderla Holidays Limited,INE066O01014,2616,16.68
Inox Wind Limited,INE066P01011,459956,567.28
CG Power and Industrial Solutions Limited,INE067A01029,49047,349.42
CANTABIL RETAIL INDIA LIMITED,INE068L01024,1218,3.21
Gland Pharma Limited,INE068V01023,1976,35.47
EMBASSY DEVELOPMENTS LIMITED,INE069I01010,1802,2.53
ECOS (India) Mobility & Hospitality Limited,INE06HJ01020,1690,2.84
INDIQUBE SPACES LIMITED,INE06ST01018,1375,2.31
LAXMI INDIA FINANCE LIMITED,INE06WU01026,1860,2.36
SHANTI GOLD INTERNATIONAL LIMITED,INE06ZD01017,18239,34.93
SHREE CEMENT,INE070A01015,296,78.55
Jai Corp Limited,INE070D01027,38097,50.15
INSECTCID,INE070I01018,198,1.41
Ugar Sugar Works Ltd.,INE071E01023,509,0.24
Epigral Limited,INE071N01016,2796,42.12
India Homes Limited,INE072A01029,10000000,1300.00
Associated Alcohols & Breweries Ltd,INE073G01016,3045,28.79
Sona BLW Precision Forgings Limited,INE073K01018,25228,133.16
Praj Industries Ltd.,INE074A01025,122894,478.61
