SEBI REPORT For Trade date 16-Feb-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,395706.98,
2,Fresh Exposure taken during the day,7536.80,
3,Exposure liquidated during the day,8660.79,
4,Net scripwise outstanding at the end of the day,394582.99,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,18709,72.42
Reliance Industries Ltd,INE002A01018,196722,2888.98
SJVN LIMITED,INE002L01015,624932,553.27
Mahanagar Gas Limited,INE002S01010,25019,310.97
"Siemens Ltd.,",INE003A01024,10728,356.62
Protean eGov Technologies Limited,INE004A01022,45444,499.13
Avantel Limited,INE005B01027,311897,534.81
ASTRAL LIMITED,INE006I01046,5783,89.42
CRISIL Ltd.,INE007A01025,1686,82.91
Geojit Financial Services Limited,INE007B01023,46396,48.31
Fedbank Financial Services Limited,INE007N01010,69355,107.70
IDBI LTD,INE008A01015,828791,811.26
Infosys Ltd,INE009A01021,144613,2155.74
Bikaji Foods International Limited,INE00E101023,13294,101.05
Hariom Pipe Industries Limited,INE00EV01017,10206,45.13
Prudent Corporate Advisory Services Limited,INE00F201020,245,6.60
ACUTAAS CHEMICALS LIMITED,INE00FF01025,5615,103.15
SWIGGY LIMITED,INE00H001014,220730,880.28
STOVE KRAFT LIMITED,INE00IN01015,7066,45.23
Craftsman Automation Limited,INE00LO01017,908,70.19
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,351200,854.12
Interarch Building Solutions Limited,INE00M901018,1744,37.80
Studds Accessories Limited,INE00Q601028,6097,32.80
DALMIA BHARAT LIMITED,INE00R701025,4559,98.36
Highway Infrastructure Limited,INE00RL01028,10283,6.06
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,34035,44.01
Manorama Industries Limited,INE00VM01036,5579,80.81
AFFLE 3I LIMITED,INE00WC01027,7482,139.71
Flair Writing Industries Limited,INE00Y201027,2804,9.07
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,2332,12.53
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,2951,34.38
PRISM JOHNSON LIMITED.,INE010A01011,23554,33.70
Zydus Lifesciences Limited,INE010B01027,20009,195.72
Tejas Networks Limited,INE010J01012,153294,846.58
L&T Technology Services Limited,INE010V01017,5334,221.85
BALU FORGE INDUSTRIES LIMITED,INE011E01029,14362,69.66
Tega Industries Limited,INE011K01018,4015,78.11
ACC,INE012A01025,15993,295.03
R&B Denims Limited,INE012Q01021,33429,58.57
Onesource Specialty Pharma Limited,INE013P01021,2984,48.68
WIM PLAST LT,INE015B01018,930,4.31
Tinna Rubber and Infrastructure Limited,INE015C01016,332,2.82
DABUR INDIA,INE016A01026,20927,111.66
CEINSYS TECH LIMITED,INE016Q01014,150,1.89
"Great Eastern Shipping Co. Ltd.,",INE017A01032,7869,94.26
LARSEN & TOU,INE018A01030,17934,685.09
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,15982,134.48
JSW SL,INE019A01038,9150,107.88
Himadri Speciality Chemical Ltd.,INE019C01026,69467,341.47
STANLEY LIFESTYLES LIMITED,INE01A001028,3893,8.76
Antony Waste Handling Cell Limited,INE01BK01022,4222,23.92
Vishal Mega Mart Limited,INE01EA01019,284266,393.18
Ritco Logistics Limited,INE01EG01016,83,0.24
Baazar Style Retail Limited,INE01FR01028,108826,379.62
Sky Gold And Diamonds Limited,INE01IU01018,16259,57.35
eMudhra Limited,INE01QM01018,12531,74.50
Vikran Engineering Limited,INE01R501028,584423,569.60
Canara HSBC Life Insurance Company Limited,INE01TY01017,11086,16.52
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,594541,2277.83
Asian Paints Ltd.,INE021A01026,14902,391.03
Dodla Dairy Limited,INE021O01019,358,4.59
ASIAN GRANITO INDIA LIMITED,INE022I01019,18769,13.43
Indian Energy Exchange Limited,INE022Q01020,251311,368.22
Nalwa Sons Investment Ltd,INE023A01030,32,2.04
Aeroflex Industries Limited,INE024001021,39922,78.92
SHILCHAR TEC,INE024F01011,2426,91.62
GRAVITA INDIA LIMITED,INE024L01027,13816,243.93
Goldiam International Ltd.,INE025B01025,42766,165.67
Artemis Medicare Services Limited,INE025R01021,2611,7.19
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,124267,243.51
RASHTRIYA CH,INE027A01015,229657,372.64
Max Healthcare Institute Limited,INE027H01010,25847,295.73
Bank Of Baroda,INE028A01039,138274,400.88
BHARAT PETRO,INE029A01011,79611,292.47
Kalyani Investment Company Limited,INE029L01018,2,0.11
ROSSARI BIOTECH LIMITED,INE02A801020,1921,12.22
Raymond Lifestyle Limited,INE02ID01020,9971,116.45
