SEBI REPORT For Trade date 20-Jan-2026


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,365444.14,
2,Fresh Exposure taken during the day,9152.16,
3,Exposure liquidated during the day,7641.09,
4,Net scripwise outstanding at the end of the day,366955.21,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,40236,159.91
Reliance Industries Ltd,INE002A01018,199815,2958.58
SJVN LIMITED,INE002L01015,559095,512.21
Mahanagar Gas Limited,INE002S01010,27604,343.05
"Siemens Ltd.,",INE003A01024,12648,416.30
Protean eGov Technologies Limited,INE004A01022,68190,755.90
Avantel Limited,INE005B01027,323525,557.20
ASTRAL LIMITED,INE006I01046,8780,133.25
CRISIL Ltd.,INE007A01025,1682,83.27
Geojit Financial Services Limited,INE007B01023,49758,51.01
Fedbank Financial Services Limited,INE007N01010,60039,95.00
IDBI LTD,INE008A01015,753986,738.15
Infosys Ltd,INE009A01021,46211,732.63
Bikaji Foods International Limited,INE00E101023,11451,89.41
Hariom Pipe Industries Limited,INE00EV01017,10206,45.38
Prudent Corporate Advisory Services Limited,INE00F201020,443,11.68
ACUTAAS CHEMICALS LIMITED,INE00FF01025,3736,59.83
SWIGGY LIMITED,INE00H001014,217974,884.25
STOVE KRAFT LIMITED,INE00IN01015,6863,44.18
Craftsman Automation Limited,INE00LO01017,432,30.32
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,307682,783.33
Interarch Building Solutions Limited,INE00M901018,1088,24.70
Studds Accessories Limited,INE00Q601028,6801,36.49
DALMIA BHARAT LIMITED,INE00R701025,5303,114.50
Highway Infrastructure Limited,INE00RL01028,8362,5.10
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,40990,54.84
Manorama Industries Limited,INE00VM01036,6294,91.91
AFFLE 3I LIMITED,INE00WC01027,9520,179.12
Flair Writing Industries Limited,INE00Y201027,1821,5.87
Jaro Institute of Technology Management and Research Limited,INE00YJ01010,1891,10.32
ABANS FINANCIAL SERVICES LIMITED,INE00ZE01026,50,0.10
Entero Healthcare Solutions Limited,INE010601016,3400,39.78
PRISM JOHNSON LIMITED.,INE010A01011,17100,25.90
Zydus Lifesciences Limited,INE010B01027,20483,201.60
Tejas Networks Limited,INE010J01012,146680,874.07
L&T Technology Services Limited,INE010V01017,5535,239.13
BALU FORGE INDUSTRIES LIMITED,INE011E01029,13169,69.03
Tega Industries Limited,INE011K01018,5458,109.61
ACC,INE012A01025,98830,1792.19
Onesource Specialty Pharma Limited,INE013P01021,2010,37.09
WIM PLAST LT,INE015B01018,5812,29.50
Tinna Rubber and Infrastructure Limited,INE015C01016,575,4.73
DABUR INDIA,INE016A01026,24305,129.68
CEINSYS TECH LIMITED,INE016Q01014,700,7.70
"Great Eastern Shipping Co. Ltd.,",INE017A01032,20078,227.23
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,22840,867.62
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,10352,91.99
JSW SL,INE019A01038,14091,164.46
