SEBI REPORT For Trade date 30-Sep-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,431.18,
3,Exposure liquidated during the day,2.06,
4,Net scripwise outstanding at the end of the day,431.78,
2,Fresh Exposure taken during the day,3.30,


Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs),reporting_date
ARE&M,Amara Raja Energy & Mobility Limited,188,1.88,30 Sep 2025
AMBAL SARA E,"Ambalal Sarabhai Enterprise Ltd.,",39365,14.30,30 Sep 2025
ANDHRA PETRO,"Andhra Petrochemicals Ltd.,",1,0.00,30 Sep 2025
BOMBAY DYEI,"Bombay Dyeing & Mfg. Co. Ltd.,",10401,19.15,30 Sep 2025
BAJAJHIND,Bajaj Hindusthan Sugar Limited,259,0.05,30 Sep 2025
BAJFINANCE,BAJAJ AUTO F,5,0.05,30 Sep 2025
BALRAMPUR C,Balrampur Chini Mills Ltd.,50,0.30,30 Sep 2025
BHARAT ELECT,BHARAT ELECT,1261,5.14,30 Sep 2025
CHAMBAL FERT,CHAMBAL FERT,200,1.18,30 Sep 2025
CIPLA LTD.,"Cipla Ltd.,",0,0.00,30 Sep 2025
HINDUSTAN PE,HINDUSTAN PE,800,2.63,30 Sep 2025
STATE BANK O,"State Bank Of India,",368,3.07,30 Sep 2025
STEEL AUTHOR,STEEL AUTHOR,500,0.56,30 Sep 2025
IDBI BANK L,IDBI LTD,107,0.10,30 Sep 2025
ELECTROSTEL,"Electrosteel Castings Ltd.,",498,1.11,30 Sep 2025
HDFC BANK LT,HDFC Bank Ltd.,312,2.52,30 Sep 2025
HFCL,HFCL LIMITED,11860,14.62,30 Sep 2025
HINDUS CONST,"Hindustan Construction Co. Ltd.,",5000,1.24,30 Sep 2025
HIND.ZINC,"Hindustan Zinc Ltd.,",24,0.11,30 Sep 2025
KALYANI ST.,Kalyani Steels Ltd,299,2.60,30 Sep 2025
CENTURY ENKA,"Century Enka Ltd.,",100,0.61,30 Sep 2025
SPICEJET LTD,SPICEJET LTD,64243,24.60,30 Sep 2025
NCC,"Nagarjuna Construction Co. Ltd.,",78,0.25,30 Sep 2025
VEDL,Vedanta Limited,335,1.66,30 Sep 2025
RELIANCE,Reliance Industries Ltd,869,11.82,30 Sep 2025
TATA POWER,Tata Power Co. Ltd,456,1.01,30 Sep 2025
BBOX,BLACK BOX LIMITED,67,0.41,30 Sep 2025
TATA STL,TATA IORN AN,215,0.33,30 Sep 2025
BHARAT FORGE,Bharat Forge Ltd,298,3.87,30 Sep 2025
TATA MOTORS,Tata Motors Ltd.,530,3.75,30 Sep 2025
VOLTAS LTD,"Voltas Ltd.,",56,0.78,30 Sep 2025
GREAT EASTE,"Great Eastern Shipping Co. Ltd.,",142,1.55,30 Sep 2025
NOVARTIS IND,NOVARTIS IND,486,4.40,30 Sep 2025
GUJARAT STAT,Gujarat State Fertilizers & Chem.Ltd,100,0.25,30 Sep 2025
NOCIL LTD,NOCIL LTD,300,0.86,30 Sep 2025
ASIAN PAINTS,Asian Paints Ltd.,25,0.64,30 Sep 2025
TATA INV COR,TATA INV COR,0,0.00,30 Sep 2025
GREAVES COTT,Greaves Cotton Ltd.,200,0.43,30 Sep 2025
BHARAT BIJLI,"Bharat Bijlee Ltd.,",10,0.32,30 Sep 2025
SANDUMA,"Sandur Manganese & Iron Ores Ltd.,",1446,2.49,30 Sep 2025
