SEBI REPORT For Trade date 31-Oct-2025


Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,325212.93,
2,Fresh Exposure taken during the day,11848.58,
3,Exposure liquidated during the day,8243.01,
4,Net scripwise outstanding at the end of the day,328818.49,


Name,ISIN,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
KRBL Ltd.,INE001B01026,23918,93.50
Reliance Industries Ltd,INE002A01018,110871,1567.08
SJVN LIMITED,INE002L01015,566277,566.10
Mahanagar Gas Limited,INE002S01010,16777,229.17
"Siemens Ltd.,",INE003A01024,15260,509.08
Protean eGov Technologies Limited,INE004A01022,65858,765.48
Avantel Limited,INE005B01027,367832,662.35
ASTRAL LIMITED,INE006I01046,15213,230.62
CRISIL Ltd.,INE007A01025,1910,97.39
Geojit Financial Services Limited,INE007B01023,43500,47.47
Fedbank Financial Services Limited,INE007N01010,54421,78.66
IDBI LTD,INE008A01015,832661,781.71
Infosys Ltd,INE009A01021,124413,1896.60
Bikaji Foods International Limited,INE00E101023,12301,96.38
Hariom Pipe Industries Limited,INE00EV01017,11032,53.65
Prudent Corporate Advisory Services Limited,INE00F201020,1110,29.59
ACUTAAS CHEMICALS LIMITED,INE00FF01025,3782,56.98
SWIGGY LIMITED,INE00H001014,200046,867.15
STOVE KRAFT LIMITED,INE00IN01015,6291,40.13
Craftsman Automation Limited,INE00LO01017,501,31.95
STERLING AND WILSON RENEWABLE ENERGY LIMI,INE00M201021,263989,748.98
Interarch Building Solutions Limited,INE00M901018,659,13.20
DALMIA BHARAT LIMITED,INE00R701025,7810,170.26
Highway Infrastructure Limited,INE00RL01028,1868,1.50
UNICOMMERCE ESOLUTIONS LIMITED,INE00U401027,38690,54.71
Manorama Industries Limited,INE00VM01036,6212,91.27
AFFLE 3I LIMITED,INE00WC01027,9905,193.42
Flair Writing Industries Limited,INE00Y201027,2830,9.21
Entero Healthcare Solutions Limited,INE010601016,1063,12.26
PRISM JOHNSON LIMITED.,INE010A01011,11835,19.32
Zydus Lifesciences Limited,INE010B01027,18996,195.14
Tejas Networks Limited,INE010J01012,137279,947.82
L&T Technology Services Limited,INE010V01017,4745,206.39
BALU FORGE INDUSTRIES LIMITED,INE011E01029,3288,20.93
Tega Industries Limited,INE011K01018,6702,134.77
ACC,INE012A01025,110452,2011.77
Onesource Specialty Pharma Limited,INE013P01021,1366,26.83
WIM PLAST LT,INE015B01018,5512,28.21
Tinna Rubber and Infrastructure Limited,INE015C01016,340,3.11
MANAKSIA LIMITED,INE015D01022,29,0.02
DABUR INDIA,INE016A01026,64416,338.84
"Great Eastern Shipping Co. Ltd.,",INE017A01032,32166,335.52
KISAN MOULDG,INE017C01012,50000,27.28
LARSEN & TOU,INE018A01030,19315,706.20
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,9878,89.09
JSW SL,INE019A01038,5555,62.34
Himadri Speciality Chemical Ltd.,INE019C01026,81859,402.93
STANLEY LIFESTYLES LIMITED,INE01A001028,1068,3.24
Antony Waste Handling Cell Limited,INE01BK01022,5510,32.78
Vishal Mega Mart Limited,INE01EA01019,347218,507.83
Ritco Logistics Limited,INE01EG01016,94,0.28
Baazar Style Retail Limited,INE01FR01028,3148,9.80
Sky Gold And Diamonds Limited,INE01IU01018,16756,58.66
eMudhra Limited,INE01QM01018,8496,59.90
Vikran Engineering Limited,INE01R501028,40104,41.97
Spencer's Retail Limited,INE020801028,202,0.18
REC LIMITED,INE020B01018,560833,2217.27
BAID FINSERV LIMITED,INE020D01022,0,0.00
Asian Paints Ltd.,INE021A01026,8506,212.49
Dodla Dairy Limited,INE021O01019,1768,23.70
ASIAN GRANITO INDIA LIMITED,INE022I01019,1104,0.64
Indian Energy Exchange Limited,INE022Q01020,188930,312.13
Nalwa Sons Investment Ltd,INE023A01030,356,28.13
Aeroflex Industries Limited,INE024001021,83739,160.88
GRAVITA INDIA LIMITED,INE024L01027,25156,447.45
Goldiam International Ltd.,INE025B01025,58010,221.76
Artemis Medicare Services Limited,INE025R01021,2529,7.54
Gujarat State Fertilizers & Chem.Ltd,INE026A01025,91504,187.85
RASHTRIYA CH,INE027A01015,283086,471.09
Max Healthcare Institute Limited,INE027H01010,23377,285.96
Bank Of Baroda,INE028A01039,124898,325.21
BHARAT PETRO,INE029A01011,112715,391.77
Kalyani Investment Company Limited,INE029L01018,1,0.06
ROSSARI BIOTECH LIMITED,INE02A801020,2682,18.19
Axita Cotton Limited,INE02EZ01022,3071,0.31
Nova Agritech Limited,INE02H701025,118,0.06
Raymond Lifestyle Limited,INE02ID01020,8806,110.82
Azad Engineering Limited,INE02IJ01035,23902,413.72
Borosil Scientific Limited,INE02L001032,82,0.12
Fino Payments Bank Limited,INE02NC01014,8885,24.62
Borosil Limited,INE02PY01013,5028,18.59
Brainbees Solutions Limited,INE02RE01045,48781,183.50
WONDER ELECTRICALS LIMITED,INE02WG01024,16612,27.04
Electronics Mart India Limited,INE02YR01019,60352,93.27
"Hindustan Unilever Ltd.,",INE030A01027,14707,374.57
Housing &Urban Development Corporation Ltd.,INE031A01017,325628,791.50
Ajanta Pharma Ltd.,INE031B01049,1695,43.38
"Bombay Dyeing & Mfg. Co. Ltd.,",INE032A01023,988506,1294.86
Prime Securities Ltd.,INE032B01021,160000,397.80
ARVIND Ltd,INE034A01011,19870,66.05
Arvind SmartSpaces Limited,INE034S01021,4142,29.14
SOTL,INE035D01020,1012,4.74
Reliance Infrastructure Ltd,INE036A01016,501,1.71
Gujarat Ambuja Exports Ltd.,INE036B01030,40345,45.61
KARUR VYSYA,INE036D01028,14156,29.64
Concord Enviro Systems Limited,INE037Z01029,1035,5.72
Hindalco Industries Ltd.,INE038A01020,18741,142.34
T.V.Today Network Limited,INE038F01029,291,0.62
IFCI LTD,INE039A01010,518151,316.27
"Jamna Auto Industries Ltd.,",INE039C01032,167915,172.68
JASH ENGINEERING LIMITED,INE039O01029,7356,37.70
Max Estates Limited,INE03EI01018,3710,17.62
Go Digit General Insurance Limited,INE03JT01014,7969,28.77
Brigade Hotel Ventures Limited,INE03NU01014,5050,4.32
ALIVUS LIFE SCIENCES LIMITED,INE03Q201024,2406,23.00
Cohance Lifesciences Limited,INE03QK01018,10007,85.09
Chemcon Speciality Chemicals Limited,INE03YM01018,267,0.69
HDFC Bank Ltd.,INE040A01034,92336,925.45
Mayur Uniquoters ltd.,INE040D01038,418,2.42
SUZLON ENERGY LTD.,INE040H01021,5346546,3283.83
"Dhampur Sugar Mills Ltd.,",INE041A01016,49818,73.86
Escorts Kubota Limited,INE042A01014,5654,209.93
Vijaya Diagnostic Centre Limited,INE043W01024,3695,37.85
Sun Pharmaceutical Industries Ltd.,INE044A01036,18328,300.62
Paras Defence and Space Technologies Limited,INE045601023,24609,179.45
ADOR WELDING,INE045A01017,25326,273.62
Nelco Ltd,INE045B01015,11592,102.91
Fineotex Chemical Limited,INE045J01026,3537,8.92
Fineotex Chemical Limited,INE045J01034,165356,42.70
Reliance Industrial Infrastructure,INE046A01015,8955,82.93
Muthoot Microfin Limited,INE046W01019,11629,18.02
GRASIM INDUS,INE047A01021,2605,74.63
JAGSONPAL PH,INE048B01035,8380,20.41
Navin Fluorent International Ltd,INE048G01026,1025,50.67
"Himatsingka Seide Ltd.,",INE049A01027,77247,108.81
Wockhardt Ltd,INE049B01025,69950,988.54
SBC EXPORTS LIMITED,INE04AK01028,11083,2.59
KPIT Technologies Ltd,INE04I401011,30820,396.15
ETHOS LIMITED,INE04TZ01018,278,7.07
Prakash Pipes Limited,INE050001010,7535,29.20
Elin Electronics Limited,INE050401020,2387,5.30
"Bombay Burmah Trading Corpn. Ltd.,",INE050A01025,4239,83.84
Balaji Amines Ltd.,INE050E01027,6225,99.55
Rane (Madras)  Ltd.,INE050H01012,2140,17.11
Vardhman Special Steels Ltd,INE050M01012,2062,6.15
Vakrangee Softwares Ltd.,INE051B01021,3950,0.54
Windsor Machines Limited,INE052A01021,3453,10.78
Camlin Fine Sciences Ltd,INE052I01032,2228,4.49
BEST AGROLIFE LIMITED,INE052T01013,1092,3.93
Indian Hotels Co. Ltd,INE053A01029,83677,637.08
Indian Railway Finance Corporation,INE053F01010,1496330,2072.43
"V.I.P. Industries Ltd.,",INE054A01027,14016,63.35
Waterbase Limited,INE054C01015,31991,16.54
ADITYA BIRLA REAL ESTATE LIMITED,INE055A01016,7370,161.81
Cyient DLM Limited,INE055S01018,24993,120.53
Refex Industries Limited,INE056I01025,16705,61.30
Sanofi India Ltd,INE058A01010,1108,56.51
"Cipla Ltd.,",INE059A01026,19972,311.46
La Opala RG Ltd.,INE059D01020,6396,16.55
Hindware Home Innovation Limited,INE05AN01011,2228,6.65
